ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	5398	2	1	0.000000	392.517229	392.517229	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
2	9739	1	1	0.000000	425.925968	425.925968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
3	27782	1	0	0.000000	409.924663	409.814340	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
4	7474	1	2	0.000000	407.869146	407.869146	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
5	1313	1	1	0.000000	1174.610053	1174.610053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
6	5321	2	2	0.000000	451.865251	446.132494	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
7	3388	2	1	0.000000	632.743211	628.697462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
8	21	1	1	0.000000	1793.047619	1793.047619	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
9	18	1	1	0.000000	431.555556	431.555556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
10	3	1	2	0.000000	429.666667	429.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
11	1	2	2	0.000000	853.000000	853.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
12	14	1	1	0.000000	424.000000	424.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
13	21	1	1	0.000000	477.952381	477.952381	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
14	30	2	2	0.000000	1058.866667	961.733333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
15	13370	1	2	0.000000	397.608676	397.608452	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
16	17	1	1	0.000000	140.352941	140.352941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
17	9	1	1	0.000000	3.444444	3.444444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
18	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
19	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
20	2	1	1	0.000000	1483.500000	1341.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
21	315	2	2	0.000000	2474.187302	2382.098413	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
22	5560	2	0	0.000000	392.255396	392.255216	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
23	3	1	1	0.000000	361.666667	360.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
24	61	1	2	0.000000	364.786885	364.786885	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
25	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
26	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
27	4	1	1	0.000000	1.750000	1.750000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
28	6	2	2	0.000000	647.000000	647.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
